sweep,size,sparsity,iterations,procs,repeat,csr_build,csr_send,csr_compute,csr_total,dense_total,csr_vs_dense,serial_build,serial_compute,serial_total,compute_speedup,total_speedup,correctness
size,2000,90,10,4,2,0.010143,0.001314,0.000693,0.012150,0.012621,1.04,0.010143,0.002390,0.012532,3.45,1.03,OK
size,2000,90,10,4,3,0.010153,0.001313,0.000743,0.012209,0.012630,1.03,0.010153,0.002243,0.012397,3.02,1.02,OK
size,2000,90,10,4,4,0.010157,0.001300,0.000731,0.012187,0.012684,1.04,0.010157,0.002241,0.012399,3.07,1.02,OK
size,4000,90,10,4,1,0.040446,0.005135,0.003499,0.049080,0.050351,1.03,0.040446,0.010404,0.050850,2.97,1.04,OK
size,4000,90,10,4,2,0.040488,0.005189,0.003612,0.049289,0.050472,1.02,0.040488,0.010324,0.050811,2.86,1.03,OK
size,4000,90,10,4,3,0.040453,0.005192,0.003591,0.049236,0.050420,1.02,0.040453,0.010302,0.050755,2.87,1.03,OK
size,4000,90,10,4,4,0.040424,0.005138,0.003628,0.049190,0.050481,1.03,0.040424,0.010324,0.050749,2.85,1.03,OK
size,8000,90,10,4,1,0.161352,0.020347,0.019156,0.200855,0.191021,0.95,0.161352,0.046575,0.207927,2.43,1.04,OK
size,8000,90,10,4,2,0.163574,0.020358,0.019067,0.202999,0.191158,0.94,0.163574,0.046471,0.210045,2.44,1.03,OK
size,8000,90,10,4,3,0.161546,0.020418,0.019060,0.201025,0.190910,0.95,0.161546,0.046850,0.208396,2.46,1.04,OK
size,8000,90,10,4,4,0.161473,0.020387,0.019577,0.201437,0.191744,0.95,0.161473,0.046427,0.207900,2.37,1.03,OK
iterations,4000,90,1,4,1,0.040476,0.005188,0.000496,0.046161,0.026751,0.58,0.040476,0.001071,0.041548,2.16,0.90,OK
iterations,4000,90,1,4,2,0.040479,0.005145,0.000486,0.046110,0.026929,0.58,0.040479,0.001069,0.041548,2.20,0.90,OK
iterations,4000,90,1,4,3,0.040463,0.005166,0.000498,0.046127,0.026794,0.58,0.040463,0.001087,0.041550,2.18,0.90,OK
iterations,4000,90,1,4,4,0.040448,0.005163,0.000504,0.046116,0.026781,0.58,0.040448,0.001070,0.041518,2.12,0.90,OK
iterations,4000,90,5,4,1,0.040459,0.005147,0.001992,0.047598,0.037383,0.79,0.040459,0.005256,0.045715,2.64,0.96,OK
iterations,4000,90,5,4,2,0.040457,0.005170,0.002005,0.047633,0.037351,0.78,0.040457,0.005247,0.045704,2.62,0.96,OK
iterations,4000,90,5,4,3,0.040413,0.005153,0.002032,0.047598,0.037291,0.78,0.040413,0.005270,0.045682,2.59,0.96,OK
iterations,4000,90,5,4,4,0.040454,0.005160,0.002022,0.047636,0.037300,0.78,0.040454,0.005235,0.045689,2.59,0.96,OK
iterations,4000,90,10,4,1,0.040452,0.005148,0.003610,0.049209,0.050342,1.02,0.040452,0.010516,0.050968,2.91,1.04,OK
iterations,4000,90,10,4,2,0.040460,0.005161,0.003572,0.049193,0.050508,1.03,0.040460,0.010290,0.050751,2.88,1.03,OK
iterations,4000,90,10,4,3,0.040461,0.005153,0.003673,0.049286,0.050537,1.03,0.040461,0.010274,0.050735,2.80,1.03,OK
iterations,4000,90,10,4,4,0.040428,0.005157,0.003544,0.049129,0.050476,1.03,0.040428,0.010402,0.050829,2.93,1.03,OK
iterations,4000,90,20,4,1,0.040435,0.005164,0.006624,0.052222,0.076522,1.47,0.040435,0.020674,0.061109,3.12,1.17,OK
iterations,4000,90,20,4,2,0.040459,0.005180,0.006624,0.052263,0.076626,1.47,0.040459,0.020539,0.060998,3.10,1.17,OK
iterations,4000,90,20,4,3,0.040485,0.005187,0.006673,0.052345,0.076525,1.46,0.040485,0.020589,0.061074,3.09,1.17,OK
iterations,4000,90,20,4,4,0.040390,0.005155,0.006637,0.052183,0.076506,1.47,0.040390,0.020443,0.060833,3.08,1.17,OK
